ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB205362,2025 DAIHATSU ATRAI,DAIHATSU,ATRAI,2025/1,19 km,660cc,CVT,Petrol,4,Location,,,,,/daihatsu/atrai/cb205362/id/13262776/
CB205343,"2023 MAZDA MAZDA2
                                 1.3 S",MAZDA,MAZDA2,2023,"62,800 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205343/id/13262757/
CB205342,"2023 MAZDA MAZDA2
                                 1.3 C",MAZDA,MAZDA2,2023,"5,210 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205342/id/13262756/
CB205341,"2023 MAZDA MAZDA2
                                 1.3 C",MAZDA,MAZDA2,2023,"88,700 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205341/id/13262755/
CB205105,"2019 VOLKSWAGEN TOUAREG
                                 AUTOMATIC PETROL",VOLKSWAGEN,TOUAREG,2019/11,"48,000 mile","3,000cc",AT,Petrol,5,Location,,,,,/volkswagen/touareg/cb205105/id/13262499/
CB205325,"2023 MAZDA MAZDA2
                                 1.3 SPORT S LEATHER",MAZDA,MAZDA2,2023,"38,600 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205325/id/13262739/
CB205315,2020 LEXUS NX,LEXUS,NX,2020/12,"68,296 km","2,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/lexus/nx/cb205315/id/13262729/
CB205316,2019 TOYOTA PRIUS,TOYOTA,PRIUS,2019/1,"104,178 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb205316/id/13262730/
CB205317,2016 TOYOTA CROWN HYBRID,TOYOTA,CROWN,2016/2,"105,061 km","2,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/crown-hybrid/cb205317/id/13262731/
CB205318,2018 TOYOTA TOYOACE,TOYOTA,TOYOACE,2018/10,"99,163 km","4,000cc",MT,Diesel,3,Location,,,,,/toyota/toyoace/cb205318/id/13262732/
CB205319,2013 DAIHATSU MOVE,DAIHATSU,MOVE,2013/9,"108,544 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/move/cb205319/id/13262733/
CB205320,2024 HONDA N BOX,HONDA,N,2024/3,"12,000 km",660cc,CVT,Petrol,4,Location,,,,,/honda/n-box/cb205320/id/13262734/
CB205321,2019 SUZUKI JIMNY,SUZUKI,JIMNY,2019/8,"83,000 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/jimny/cb205321/id/13262735/
CB205322,2019 HONDA INSIGHT,HONDA,INSIGHT,2019/1,"70,251 km","1,500cc",AT,Hybrid(Petrol),5,Location,,,,,/honda/insight/cb205322/id/13262736/
CB205323,2010 LEXUS HS,LEXUS,HS,2010/4,"87,090 km","2,400cc",CVT,Hybrid(Petrol),5,Location,,,,,/lexus/hs/cb205323/id/13262737/
CB205324,2012 TOYOTA 86,TOYOTA,86,2012/6,"110,444 km","2,000cc",MT,Petrol,4,Location,,,,,/toyota/86/cb205324/id/13262738/
CB205326,2025 DAIHATSU MOVE,DAIHATSU,MOVE,2025/6,17 km,660cc,CVT,Petrol,4,Location,,,,,/daihatsu/move/cb205326/id/13262740/
CB205327,2016 SUZUKI CARRY TRUCK,SUZUKI,CARRY,2016/11,"131,665 km",660cc,AT,Petrol,2,Location,,,,,/suzuki/carry-truck/cb205327/id/13262741/
CB205328,2025 HONDA FREED,HONDA,FREED,2025/11,4 km,"1,500cc",CVT,Hybrid(Petrol),6,Location,,,,,/honda/freed/cb205328/id/13262742/
CB205329,2025 SUZUKI WAGON R,SUZUKI,WAGON,2025/3,6 km,660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/wagon-r/cb205329/id/13262743/
CB205330,2023 SUZUKI SWIFT,SUZUKI,SWIFT,2023/1,"36,233 km","1,400cc",AT,Petrol,5,Location,,,,,/suzuki/swift/cb205330/id/13262744/
CB205331,2021 DAIHATSU TANTO,DAIHATSU,TANTO,2021/11,"21,715 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/tanto/cb205331/id/13262745/
CB205332,2018 SUZUKI X BEE,SUZUKI,X,2018/2,"45,378 km","1,000cc",AT,Hybrid(Petrol),5,Location,,,,,/suzuki/x-bee/cb205332/id/13262746/
CB205333,2018 SUZUKI HUSTLER,SUZUKI,HUSTLER,2018/12,"49,612 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/hustler/cb205333/id/13262747/
CB205334,2023 TOYOTA YARIS CROSS,TOYOTA,YARIS,2023/10,"5,556 km","1,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/yaris-cross/cb205334/id/13262748/
CB205335,2022 SUZUKI HUSTLER,SUZUKI,HUSTLER,2022/10,"33,420 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/hustler/cb205335/id/13262749/
CB205336,2012 DAIHATSU TANTO,DAIHATSU,TANTO,2012/3,"48,876 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/tanto/cb205336/id/13262750/
CB205337,2019 SUZUKI X BEE,SUZUKI,X,2019/8,"37,965 km","1,000cc",AT,Hybrid(Petrol),5,Location,,,,,/suzuki/x-bee/cb205337/id/13262751/
CB205338,2013 HONDA N-ONE,HONDA,N-ONE,2013/3,"65,695 km",660cc,CVT,Petrol,4,Location,,,,,/honda/n-one/cb205338/id/13262752/
CB205339,2019 TOYOTA ROOMY,TOYOTA,ROOMY,2019/2,"26,697 km","1,000cc",CVT,Petrol,5,Location,,,,,/toyota/roomy/cb205339/id/13262753/
