ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url,source
CB192713,2011 NISSAN FAIRLADY Z,Nissan,Fairlady,2011,139000.0,3700.0,MT,Petrol,2,Location,,,,,/nissan/fairlady-z/cb192713/id/13250673/,BeForward
CA925137,2010 NISSAN FAIRLADY Z,Nissan,Fairlady,2010,146000.0,3700.0,AT,Petrol,2,Location,,,,,/nissan/fairlady-z/ca925137/id/13014035/,BeForward
CA640412,2022 VOLVO V90,Volvo,V90,2022,3800.0,2000.0,AT,Petrol,5,Location,,,,,/volvo/v90/ca640412/id/12727974/,BeForward
BW232305,"2021 VOLVO XC90
                                 B6AWDR4WDUSS-4.5B",Volvo,Xc90,2021,56000.0,2000.0,AT,Petrol,7,Location,,,,,/volvo/xc90/bw232305/id/9490424/,BeForward
CA430524,"2019 VOLKSWAGEN THE BEETLE
                                 RJISBSMPC",Volkswagen,The,2019,88300.0,1400.0,AT,Petrol,4,Location,,,,,/volkswagen/the-beetle/ca430524/id/12515785/,BeForward
CA670604,2013 VOLKSWAGEN THE BEETLE,Volkswagen,The,2013,78275.0,1200.0,AT,Petrol,4,Location,,,,,/volkswagen/the-beetle/ca670604/id/12757649/,BeForward
CA662453,2013 VOLKSWAGEN THE BEETLE,Volkswagen,The,2013,63040.0,1200.0,AT,Petrol,4,Location,,,,,/volkswagen/the-beetle/ca662453/id/12749770/,BeForward
CA592951,2012 VOLKSWAGEN THE BEETLE,Volkswagen,The,2012,67830.0,1200.0,AT,Petrol,4,Location,,,,,/volkswagen/the-beetle/ca592951/id/12679761/,BeForward
CA626855,2021 VOLKSWAGEN T-CROSS,Volkswagen,T-Cross,2021,17000.0,1000.0,AT,Petrol,5,Location,,,,,/volkswagen/t-cross/ca626855/id/12713293/,BeForward
CA592950,"2022 VOLKSWAGEN T-ROC
                                 ACC",Volkswagen,T-Roc,2022,3680.0,2000.0,AT,Diesel,5,Location,,,,,/volkswagen/t-roc/ca592950/id/12679760/,BeForward
CA927725,2020 VOLKSWAGEN T-ROC,Volkswagen,T-Roc,2020,60320.0,2000.0,AT,Diesel,5,Location,,,,,/volkswagen/t-roc/ca927725/id/13016710/,BeForward
BX783614,"2016 BMW MINI
                                 BLED",Bmw,Mini,2016,33800.0,1200.0,AT,Petrol,5,Location,,,,,/bmw/mini/bx783614/id/11010239/,BeForward
CA154969,"2015 BMW MINI
                                 BBLUETOOTH",Bmw,Mini,2015,74620.0,1198.0,AT,Petrol,4,Location,,,,,/bmw/mini/ca154969/id/12236731/,BeForward
BY812984,2015 MERCEDES-BENZ MERCEDES-BENZ OTHERS,Mercedes-Benz,Mercedes-Benz,2015,95730.0,2200.0,AT,Diesel,7,Location,,,,,/mercedes-benz/mercedes-benz-others/by812984/id/11964144/,BeForward
CA640366,2016 MERCEDES-BENZ GLC-CLASS,Mercedes-Benz,Glc-Class,2016,39900.0,2000.0,AT,Petrol,5,Location,,,,,/mercedes-benz/glc-class/ca640366/id/12727904/,BeForward
CB012505,"2016 MERCEDES-BENZ GLC-CLASS
                                 25044WD",Mercedes-Benz,Glc-Class,2016,62083.0,2000.0,AT,Petrol,5,Location,,,,,/mercedes-benz/glc-class/cb012505/id/13068843/,BeForward
CA662429,2020 BMW X4,Bmw,X4,2020,9870.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/x4/ca662429/id/12749724/,BeForward
CB058294,2012 BMW BMW OTHERS,Bmw,Bmw,2012,39700.0,4400.0,AT,Petrol,5,Location,,,,,/bmw/bmw-others/cb058294/id/13115443/,BeForward
CA592930,"2017 BMW 5 SERIES
                                 ACC19AW",Bmw,5,2017,66230.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/5-series/ca592930/id/12679733/,BeForward
CA740694,"2015 BMW X1
                                 X20IX4WD",Bmw,X1,2015,45000.0,2000.0,AT,Petrol,5,Location,,,,,/bmw/x1/ca740694/id/12828643/,BeForward
CA592928,2022 BMW 1 SERIES,Bmw,1,2022,17580.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/1-series/ca592928/id/12679730/,BeForward
BT031661,"2014 BMW 4 SERIES
                                 4WD",Bmw,4,2014,59300.0,2000.0,AT,Petrol,5,Location,,,,,/bmw/4-series/bt031661/id/7415551/,BeForward
CA554822,"2022 BMW 4 SERIES
                                 P",Bmw,4,2022,13230.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/4-series/ca554822/id/12640766/,BeForward
CA592921,"2023 BMW X3
                                 XDRIVE20DMPKG",Bmw,X3,2023,9620.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/x3/ca592921/id/12679721/,BeForward
CA640313,2021 BMW 4 SERIES,Bmw,4,2021,14090.0,2000.0,AT,Petrol,4,Location,,,,,/bmw/4-series/ca640313/id/12727836/,BeForward
CA154874,2021 AUDI Q3,Audi,Q3,2021,17300.0,2000.0,AT,Diesel,5,Location,,,,,/audi/q3/ca154874/id/12236636/,BeForward
CA012918,2017 BMW MINI,Bmw,Mini,2017,80100.0,2000.0,AT,Diesel,5,Location,,,,,/bmw/mini/ca012918/id/12094348/,BeForward
