ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
BY466545,"2014 FORD MUSTANG
                                 V8GT",Ford,Mustang,2014,19800,5000.0,AT,Petrol,4,Location,,,,,/ford/mustang/by466545/id/11615558/
CA920611,"2011 JEEP WRANGLER
                                 4WD",Jeep,Wrangler,2011,114000,3800.0,AT,Petrol,5,Location,,,,,/jeep/wrangler/ca920611/id/13009497/
CA922856,"2015 JEEP CHEROKEE
                                 TVBPKG",Jeep,Cherokee,2015,76490,2400.0,AT,Petrol,5,Location,,,,,/jeep/cherokee/ca922856/id/13011747/
CA738202,"2016 HONDA N BOX
                                 GLTVPBETCBP",Honda,N,2016,14287,660.0,AT,Petrol,4,Location,,,,,/honda/n-box/ca738202/id/12826986/
CB032873,"2022 TOYOTA SIENTA
                                 HVTVMAW",Toyota,Sienta,2022,11632,1500.0,AT,Petrol,7,Location,,,,,/toyota/sienta/cb032873/id/13088812/
CA775405,"2022 SUBARU LEVORG
                                 11.6",Subaru,Levorg,2022,51933,1800.0,AT,Petrol,5,Location,,,,,/subaru/levorg/ca775405/id/12864205/
CA677300,2022 DAIHATSU HIJET TRUCK,Daihatsu,Hijet,2022,12175,660.0,AT,Petrol,2,Location,,,,,/daihatsu/hijet-truck/ca677300/id/12765504/
CA713646,"2020 TOYOTA RAV4
                                 2.0GZ4WD",Toyota,Rav4,2020,77000,1980.0,CVT,Petrol,5,Location,,,,,/toyota/rav4/ca713646/id/12802140/
CB202295,2017 TOYOTA PIXIS JOY,Toyota,Pixis,2017,30945,660.0,AT,Petrol,4,Location,,,,,/toyota/pixis-joy/cb202295/id/13259683/
CB202296,2014 DAIHATSU WAKE,Daihatsu,Wake,2014,38449,660.0,AT,Petrol,4,Location,,,,,/daihatsu/wake/cb202296/id/13259684/
CB202299,"2018 TOYOTA TOYOACE
                                 2.0S601-1SRT2",Toyota,Toyoace,2018,99163,4000.0,MT,Diesel,3,Location,,,,,/toyota/toyoace/cb202299/id/13259687/
CB202302,2016 DAIHATSU HIJET TRUCK,Daihatsu,Hijet,2016,36429,660.0,MT,Petrol,2,Location,,,,,/daihatsu/hijet-truck/cb202302/id/13259690/
CB202306,"2022 TOYOTA PIXIS MEGA
                                 SDB",Toyota,Pixis,2022,46602,660.0,AT,Petrol,4,Location,,,,,/toyota/pixis-mega/cb202306/id/13259694/
CB202308,2017 TOYOTA PASSO,Toyota,Passo,2017,16500,1000.0,AT,Petrol,5,Location,,,,,/toyota/passo/cb202308/id/13259696/
CB202309,2021 DAIHATSU TAFT,Daihatsu,Taft,2021,21062,660.0,AT,Petrol,4,Location,,,,,/daihatsu/taft/cb202309/id/13259697/
CB202310,"2019 TOYOTA PROBOX VAN
                                 4WD",Toyota,Probox,2019,64530,1500.0,CVT,Petrol,2,Location,,,,,/toyota/probox-van/cb202310/id/13259698/
